domain_name,output_rank
google.com.,1
akadns.net.,2
gstatic.com.,3
facebook.com.,4
microsoft.com.,5
akamai.com.,6
whatsapp.net.,7
apple.com.,8
fbcdn.net.,9
play.googleapis.com.,10
googleusercontent.com.,11
bing.com.,12
microsoftonline.com.,13
doubleclick.net.,14
digicert.com.,15
akamai-zt.com.,16
office.com.,17
ytimg.com.,18
update.googleapis.com.,19
msn.com.,20
googleapis.com.,21
www.googleapis.com.,22
app-measurement.com.,23
skype.com.,24
office.net.,25
akamai.net.,26
youtube.com.,27
windows.com.,28
aaplimg.com.,29
instagram.com.,30
icloud.com.,31
cloud.microsoft.,32
officeapps.live.com.,33
apple-dns.net.,34
safebrowsing.googleapis.com.,35
ntp.org.,36
optimizationguide-pa.googleapis.com.,37
windowsupdate.com.,38
gvt2.com.,39
maersk.io.,40
googlevideo.com.,41
youtubei.googleapis.com.,42
clientservices.googleapis.com.,43
cloudflare.com.,44
akamaiedge.net.,45
esc5.net.,46
googlesyndication.com.,47
tiktokv.com.,48
windows.net.,49
cib.com.cn.,50
notifications-pa.googleapis.com.,51
appsflyersdk.com.,52
amazonaws.com.,53
gvt1.com.,54
office365.com.,55
googletagmanager.com.,56
play-fe.googleapis.com.,57
login.live.com.,58
googleadservices.com.,59
akamaized.net.,60
adobedtm.com.,61
firebaselogging-pa.googleapis.com.,62
android.googleapis.com.,63
firebaseremoteconfig.googleapis.com.,64
tiktokcdn.com.,65
fonts.googleapis.com.,66
google-analytics.com.,67
ggpht.com.,68
crashlytics.com.,69
content-autofill.googleapis.com.,70
static.microsoft.,71
line-apps.com.,72
sfx.ms.,73
azure.com.,74
prod-lt-playstoregatewayadapter-pa.googleapis.com.,75
fastly-edge.com.,76
churchofjesuschrist.org.,77
firebaseinstallations.googleapis.com.,78
geller-pa.googleapis.com.,79
zscalertwo.net.,80
qq.com.,81
aa-rt.sharepoint.com.,82
people-pa.googleapis.com.,83
whatsapp.com.,84
app-analytics-services.com.,85
android.com.,86
cdn-apple.com.,87
sentry.io.,88
playstoregatewayadapter-pa.googleapis.com.,89
yahoo.com.,90
live.com.,91
discover-pa.googleapis.com.,92
cloudsink.net.,93
spot-pa.googleapis.com.,94
pki.goog.,95
scorecardresearch.com.,96
taskassist-pa.googleapis.com.,97
azureedge.net.,98
firebaselogging.googleapis.com.,99
outlook.com.,100
paypal.com.,101
moba.net.,102
dell.com.,103
lencr.org.,104
cdninstagram.com.,105
exp-tas.com.,106
demdex.net.,107
facebook.net.,108
samsung.com.,109
linkedin.com.,110
mzstatic.com.,111
qualys.eu.,112
g.live.com.,113
googletagservices.com.,114
oauthaccountmanager.googleapis.com.,115
applovin.com.,116
searchnotifications-pa.googleapis.com.,117
adtrafficquality.google.,118
amazon-adsystem.com.,119
pangle.io.,120
criteo.com.,121
appcenter.ms.,122
adnxs.com.,123
safebrowsing.apple.,124
fnop.net.,125
svc.ms.,126
ipv4only.arpa.,127
vungle.com.,128
samsungcloud.com.,129
apple.map.fastly.net.,130
peoplestack-pa.googleapis.com.,131
taboola.com.,132
msedge.net.,133
alssys.vn.,134
spotify.com.,135
meetings.googleapis.com.,136
inmobi.com.,137
msftconnecttest.com.,138
maersk.net.,139
ampproject.org.,140
3gppnetwork.org.,141
cloudflare.net.,142
illusionblack.com.,143
i18n-pglstatp.com.,144
akamaihd.net.,145
branch.io.,146
adobe.com.,147
crashlyticsreports-pa.googleapis.com.,148
xgapromomanager-pa.googleapis.com.,149
pubmatic.com.,150
nelreports.net.,151
rubiconproject.com.,152
adsrvr.org.,153
unity3d.com.,154
shopeemobile.com.,155
azurefd.net.,156
proactivebackend-pa.googleapis.com.,157
netflix.com.,158
playatoms-pa.googleapis.com.,159
zscaler.com.,160
damco.com.,161
taobao.com.,162
firebaseremoteconfigrealtime.googleapis.com.,163
zdxcloud.net.,164
mobilemaps-pa-gz.googleapis.com.,165
jsdelivr.net.,166
mobileconfiguration-pa.googleapis.com.,167
zscaler.net.,168
omtrdc.net.,169
clarity.ms.,170
2mdn.net.,171
giphy.com.,172
danaccess.net.,173
dmw.gov.ph.,174
heytapmobile.com.,175
susercontent.com.,176
oauth2.googleapis.com.,177
licdn.com.,178
live.net.,179
weather.com.,180
macys.net.,181
xiaomi.com.,182
casalemedia.com.,183
twitter.com.,184
voilatile-pa.googleapis.com.,185
msftauth.net.,186
amazon.com.,187
storage.googleapis.com.,188
jnn-pa.googleapis.com.,189
kghcustoms.com.,190
googlezip.net.,191
adobe.io.,192
tiktok.com.,193
network-auth.com.,194
adsafeprotected.com.,195
tpp.com.pe.,196
ibyteimg.com.,197
openx.net.,198
msftncsi.com.,199
photosdata-pa.googleapis.com.,200
